,cities_tags,purchase_places,stores,countries,countries_tags,countries_fr,code,product_name,generic_name,manufacturing_places,manufacturing_places_tags,main_category_fr,created_datetime,last_modified_datetime
0,chantonnay-vendee-france,"beynost,france",leclerc,france,france,france,0095111650107,le bâtonnet moelleux (10 bâtonnets),préparation à base de chair de poisson,"fleury michon traiteur - fmt (filiale fleury michon solution repas) - parc d'activité polaris - 85110 chantonnay,vendée,pays de la loire,france","fleury-michon-traiteur-fmt-filiale-fleury-michon-solution-repas-parc-d-activite-polaris-85110-chantonnay,vendee,pays-de-la-loire,france",produits de la mer,2013-09-05t17:15:34z,2016-11-12t12:31:33z
1,obernai-bas-rhin-france,obernai-bas-rhin-france,carrefour,france,france,france,0184210063748,la choucroute du temps retrouvé,choucroute garnie à partager,"stoeffler zone industrielle bd d europe bp 35 67210 obernai cedex france,france","stoeffler-zone-industrielle-bd-d-europe-bp-35-67210-obernai-cedex-france,france",plats préparés,2014-02-26t19:41:21z,2014-10-05t17:21:31z
2,"avoudrey-doubs-france,avoudrey-doubs-france","paris,france",monoprix,france,france,france,0200010033672,comté au lait cru (34 % mg),"fromage de france aop, à pâte pressée cuite, au lait cru de vache","société des affineurs franc-comtois réunis - za sur le jura - 25690 avoudrey,doubs,franche-comté,france","societe-des-affineurs-franc-comtois-reunis-za-sur-le-jura-25690-avoudrey,doubs,franche-comte,france",produits labellisés,2015-05-08t16:30:50z,2015-08-16t16:41:45z
3,larceveau-arros-cibits-pyrenees-atlantiques-france,"miribel,france",carrefour market,france,france,france,0200144089675,p'tit basque (34% mg) - 642 g ,"fromage industriel de france, à pâte pressée non cuite, au lait pasteurisé de brebis","pyrénéfrom (filiale groupe lactalis),64120 larceveau-arros-cibits,pyrénées-atlantiques,aquitaine,france","pyrenefrom-filiale-groupe-lactalis,64120-larceveau-arros-cibits,pyrenees-atlantiques,aquitaine,france",fromages de france,2013-08-10t09:58:06z,2015-08-09t17:35:33z
4,brignais-rhone-france,france,boucheries andré,france,france,france,0200489034705,steak haché pur boeuf,steak haché pur boeuf,france,france,viandes,2015-08-03t09:57:15z,2015-08-11t08:08:12z
5,brignais-rhone-france,brignais-rhone-france,carrefour,france,france,france,0200489038246,race charolaise steak haché &quot;façon andré&quot; pur bœuf 15% mg,race charolaise steak haché &quot;façon andré&quot; pur bœuf 15% mg,france,france,viandes,2016-10-18t11:06:38z,2017-03-10t20:02:10z
6,brignais-rhone-france,rillieux-la-pape,boucheries andré,france,france,france,0200492022249,steaks hachés &quot;façon andré&quot; race charolaise,steaks hachés,france,france,viandes,2016-01-25t16:30:40z,2016-01-26t15:38:10z
7,saint-julien-puy-laveze-puy-de-dome-france,france,carrefour,france,france,france,0200696012206,bleu auvergne la mémée,fromage au lait de vache pasteurisé,auvergne,auvergne,fromages de vache,2015-07-27t18:07:01z,2015-08-09t17:36:25z
8,collinee-cotes-d-armor-france,"olivet,france",leclerc,france,france,france,0201227008798,côtes filet avec os x 1,côtes filet avec os x 1,"saint-jacut-du-mené,france","saint-jacut-du-mene,france",viandes,2016-03-17t16:54:00z,2016-03-22t06:50:16z
9,collinee-cotes-d-armor-france,"olivet,france",leclerc,france,france,france,0201736013184,v. bovine 1x steak*** à griller,v. bovine 1x steak*** à griller,"saint-jacut-du-mené,france","saint-jacut-du-mene,france",viandes,2016-03-16t22:15:42z,2016-03-25t21:01:04z
10,roanne-loire-france,roanne-loire-france,carrefour,france,france,france,0202016032277,tranche à bifteack,tranche à bifteack,france,france,viandes,2015-09-02t15:19:42z,2015-10-24t10:09:46z
11,quimperle-finistere-france,"olivet,france",auchan,france,france,france,0205116009385,viande bovine 1 steak* à griller ,viande bovine 1 steak* à griller ,france,france,viandes,2016-11-30t19:24:10z,2016-11-30t19:59:45z
12,colmar-haut-rhin-france,"france,aix-en-provence",biocoop,france,france,france,0205505023480,kassler cru fumé bio,kassler cru fumé bio,"colmar,alsace,france","colmar,alsace,france",charcuteries,2015-03-29t19:50:57z,2015-06-24t11:57:35z
13,"alencon-orne-france,domvallier-vosges-france","olivet,france",auchan,france,france,france,0206778018432,viande bovine bio filet*** en pavé à griller,viande bovine bio filet*** en pavé à griller,"france,abattoir : domvallier,découpé : alençon","france,abattoir-domvallier,decoupe-alencon",viandes,2016-03-09t14:14:30z,2016-03-09t14:45:34z
14,alencon-orne-france,"olivet,france",auchan,france,france,france,0206799009457,viande bovine bio - steak* à griller,viande bovine bio,france,france,viandes,2016-10-05t19:44:22z,2016-10-05t19:51:02z
15,alencon-orne-france,"olivet,france",auchan,france,france,france,0206799011153,viande bovine bio - steak* à griller,viande bovine bio - steak* à griller,france,france,viandes,2016-10-02t18:26:20z,2016-10-02t18:44:38z
16,brignais-rhone-france,"rillieux-la-pape,france",boucheries andré,france,france,france,0207004019094,dés de jambon cuit,jambon,france,france,jambons,2016-01-29t17:08:10z,2016-01-29t17:14:14z
17,"feignies-nord-france,ailly-sur-somme-somme-france","rouvroy,france",carrefour market,france,france,france,0207067024530,viande bovine tende tranche à fondue,viande bovine tende tranche,"abattu,groupe bigard - zi grévaux-les-guides - rue daniel gaillard - 59750 feignies,nord,nord-pas-de-calais,découpé,groupe bigard - rue du 60ème régiment d'infanterie - 80470 ailly-sur-somme,somme,picardie,france","abattu,groupe-bigard-zi-grevaux-les-guides-rue-daniel-gaillard-59750-feignies,nord,nord-pas-de-calais,decoupe,groupe-bigard-rue-du-60eme-regiment-d-infanterie-80470-ailly-sur-somme,somme,picardie,france",viandes,2015-04-14t16:05:19z,2015-08-13t09:53:30z
18,herbiers-vendee-france,saint jean de monts,super u,france,france,france,0207720049207,foie gras de canard cru extra,foie gras de canard cru extra,"lescar,france","lescar,france",poissons et viandes et oeufs,2015-04-14t16:31:40z,2015-12-21t09:17:43z
19,chavagnes-en-paillers-vendee-france,chavagnes-en-paillers-vendee-france,carrefour,france,france,france,0208802133098,dinde farcie,"dinde farcie pomme, figue et marrons",france,france,plats à base de viande,2015-01-10t12:30:10z,2015-09-09t06:52:40z
20,sourn-morbihan-france,"carvin,france",intermarché,france,france,france,0209091010930,mousse pur canard ,mousse de canard,"salaisons celtiques (filiale du groupement les mousquetaires) - parc d'activités tréhonin - 56300 le sourn,morbihan,bretagne,france","salaisons-celtiques-filiale-du-groupement-les-mousquetaires-parc-d-activites-trehonin-56300-le-sourn,morbihan,bretagne,france",produits à tartiner salés,2015-04-08t19:22:58z,2015-06-06t07:05:19z
21,saint-fulgent-vendee-france,france,netto,france,france,france,0209367028348,poulet p.a.c blanc,poulet p.a.c blanc,france,france,volailles,2016-04-02t11:30:16z,2016-04-02t14:05:51z
22,aoste-isere-france,"marseille 5°,france",super u,france,france,france,0210609016405,jambon cru de pays,jambon cru,"isère,france","isere,france",jambons crus,2015-10-23t10:19:17z,2015-12-08t20:59:23z
23,"val-de-meuse-haute-marne-france,val-de-meuse-haute-marne-france",france,intermarché,france,france,france,0211502023026,emmental au lait cru,fromage à pâte pressée cuite,france,france,emmental,2016-03-30t18:28:20z,2016-03-30t18:32:04z
24,trambly-saone-et-loire-france,"chalon-sur-saône,france",intermarché,france,france,france,0212305081343,filet de canard,filet de canard classe a,france,france,volailles,2017-01-23t14:55:10z,2017-01-23t14:59:42z
25,villefort-lozere-france,"florac,france",carrefour,france,france,france,0212345052617,truite fumée bio du mont-lozère,truite fumée,"villefort,lozère,france","villefort,lozere,france",poissons fumés,2014-09-20t09:05:03z,2016-11-27t10:35:46z
26,saint-fulgent-vendee-france,france,carrefour,france,france,france,0215212117747,poulet fermier jaune bio,poulet fermier jaune bio 81j,france,france,volailles,2015-08-27t16:52:17z,2017-01-24t10:06:19z
27,saint-fulgent-vendee-france,"paris,france",franprix,france,france,france,0215242067500,la pintade les éleveurs de nos régions,"pintade éviscérée, sans abats, classe a.","france,vendée","france,vendee",volailles,2016-05-31t17:22:02z,2016-09-06t05:58:34z
28,chavagnes-en-paillers-vendee-france,"paris,france",franprix,france,france,france,0215448046705,le poulet du rôtisseur,poulet traité en salaison et rôti.,france,france,plats à base de viande,2016-05-31t17:22:35z,2016-12-05t11:38:43z
29,saint-fulgent-vendee-france,"courrières,france",cora,france,france,france,0215579090462,dinde de fête,dinde de fête,france,france,volailles,2015-12-11t19:53:29z,2015-12-11t22:45:26z
30,loue-sarthe-france,"chalon sur saône,france",carrefour,france,france,france,0217004056548,poulet fermier de loué élevé en liberté blanc,poulet,"france,loué","france,loue",volailles,2017-04-12t16:13:22z,2017-04-12t16:19:27z
31,loue-sarthe-france,"france,paris",franprix,france,france,france,0217013081678,poulet fermier label rouge de loué,poulet fermier label rouge de loué,"france,sarthe","france,sarthe",volailles,2016-06-04t09:27:40z,2016-09-20t10:48:16z
32,sable-sur-sarthe-sarthe-france,"courrières,france",cora,france,france,france,0217107083373,canette fermière de loué,canette fermière de loué,france,france,volailles,2016-12-17t11:23:14z,2016-12-17t11:28:05z
